Δήμος,Καθαρισμένο_Όνομα,Δήμος_Κλεισθένη
Δ. ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ,ΚΟΜΟΤΗΝΗΣ
Δ. ΤΡΟΙΖΗΝΙΑΣ,ΤΡΟΙΖΗΝΙΑΣ,ΧΡΕΙΑΖΕΤΑΙ ΕΛΕΓΧΟ
Δ. ΝΑΥΠΛΙΕΩΝ,ΝΑΥΠΛΙΕΩΝ,ΝΑΥΠΛΙΕΩΝ
Δ. ΛΟΥΤΡΑΚΙΟΥ-ΑΓΙΩΝ ΘΕΟΔΩΡΩ,ΛΟΥΤΡΑΚΙΟΥ-ΑΓΙΩΝ ΘΕΟΔΩΡΩ,ΛΟΥΤΡΑΚΙΟΥ - ΠΕΡΑΧΩΡΑΣ - ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ
Δ. ΚΕΡΚΥΡΑΣ,ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ,ΚΕΝΤΡΙΚΗΣ ΚΕΡΚΥΡΑΣ
Δ. ΑΣΤΥΠΑΛΑΙΑΣ,ΑΣΤΥΠΑΛΑΙΑΣ,ΑΣΤΥΠΑΛΑΙΑΣ
Δ. ΔΩΔΩΝΗΣ,ΔΩΔΩΝΗΣ,ΔΩΔΩΝΗΣ
Δ. ΣΠΑΡΤΗΣ,ΣΠΑΡΤΗΣ,ΣΠΑΡΤΗΣ
Δ. ΞΑΝΘΗΣ,ΞΑΝΘΗΣ,ΞΑΝΘΗΣ
Δ. ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ
Δ. ΛΗΜΝΟΥ,ΛΗΜΝΟΥ,ΛΗΜΝΟΥ
Δ. ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ,ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ,ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ
Δ. ΑΡΓΟΥΣ - ΜΥΚΗΝΩΝ,ΑΡΓΟΥΣ - ΜΥΚΗΝΩΝ,ΑΡΓΟΥΣ - ΜΥΚΗΝΩΝ
Δ. ΘΕΡΜΟΥ,ΘΕΡΜΟΥ,ΘΕΡΜΟΥ
Δ. ΑΓΡΙΝΙΟΥ,ΑΓΡΙΝΙΟΥ,ΑΓΡΙΝΙΟΥ
Δ. ΒΟΛΒΗΣ,ΒΟΛΒΗΣ,ΒΟΛΒΗΣ
Δ. ΠΡΕΒΕΖΑΣ,ΠΡΕΒΕΖΑΣ,ΠΡΕΒΕΖΑΣ
Δ. ΣΑΡΩΝΙΚΟΥ,ΣΑΡΩΝΙΚΟΥ,ΣΑΡΩΝΙΚΟΥ
Δ. ΑΙΓΙΑΛΕΙΑΣ,ΑΙΓΙΑΛΕΙΑΣ,ΑΙΓΙΑΛΕΙΑΣ
Δ. ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ
Δ. ΤΡΙΚΚΑΙΩΝ,ΤΡΙΚΚΑΙΩΝ,ΤΡΙΚΚΑΙΩΝ
Δ. ΠΑΙΟΝΙΑΣ,ΠΑΙΟΝΙΑΣ,ΠΑΙΟΝΙΑΣ
